month,cpi_yoy,reer,retail_sales,ip_yoy,shibor3m,tone_dict,tone_pca,tone_logit,tone_growth,tone_risk,dcpi_yoy,cpi_yoy_ma12,gap_cpi,cpi_yoy_lag1,cpi_yoy_lag2,dcpi_yoy_lag1,dcpi_yoy_lag2,gap_cpi_lag1,gap_cpi_lag2,dreer,dip_yoy,dshibor3m,dcpi_yoy_lag3,dcpi_yoy_lag4,dcpi_yoy_lag5,dcpi_yoy_lag6,dcpi_yoy_lag7,dcpi_yoy_lag8,dcpi_yoy_lag9,dcpi_yoy_lag10,dcpi_yoy_lag11,dcpi_yoy_lag12,dip_yoy_lag1,dip_yoy_lag2,dip_yoy_lag3,dip_yoy_lag4,dip_yoy_lag5,dip_yoy_lag6,dip_yoy_lag7,dip_yoy_lag8,dip_yoy_lag9,dip_yoy_lag10,dip_yoy_lag11,dip_yoy_lag12,dreer_lag1,dreer_lag2,dreer_lag3,dreer_lag4,dreer_lag5,dreer_lag6,dreer_lag7,dreer_lag8,dreer_lag9,dreer_lag10,dreer_lag11,dreer_lag12,dshibor3m_lag1,dshibor3m_lag2,dshibor3m_lag3,dshibor3m_lag4,dshibor3m_lag5,dshibor3m_lag6,dshibor3m_lag7,dshibor3m_lag8,dshibor3m_lag9,dshibor3m_lag10,dshibor3m_lag11,dshibor3m_lag12,tone_logit_lag1
2005-01,1.9,66.41,530090000000.00006,120.9,2.49,-0.001339101565878,0.1991850842534896,-1.062426369725426,76.45786247564776,35.456248672164826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02,3.9,67.48,501220000000.0,107.6,2.38,0.0201550897554418,0.4631689510306282,-1.1594838005581032,31.696329055394862,71.92604735174525,2.0,,,1.9,,,,,,1.0700000000000074,-13.300000000000011,-0.11000000000000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.062426369725426
2005-03,2.7,66.06,479910000000.0,115.1,2.51,0.9445562840762806,0.165115886332671,0.3496407902244311,90.51489582658029,50.06375258744679,-1.1999999999999995,,,3.9,1.9,2.0,,,,-1.4200000000000017,7.5,0.1299999999999999,,,,,,,,,,,-13.300000000000011,,,,,,,,,,,,1.0700000000000074,,,,,,,,,,,,-0.11000000000000032,,,,,,,,,,,,-1.1594838005581032
2005-04,1.8,66.4,466330000000.0,116.0,2.21,0.0774985802194517,0.3294848623053046,-1.0777018104994158,56.00095492615493,49.53233581941747,-0.9000000000000001,,,2.7,3.9,-1.1999999999999995,2.0,,,0.3400000000000034,0.9000000000000057,-0.2999999999999998,,,,,,,,,,,7.5,-13.300000000000011,,,,,,,,,,,-1.4200000000000017,1.0700000000000074,,,,,,,,,,,0.1299999999999999,-0.11000000000000032,,,,,,,,,,,0.3496407902244311
2005-05,1.8,66.35,489920000000.0,116.6,1.52,-1.0620555907623084,0.1202464674352177,-0.7137586986876445,61.885090451185874,0.0037755852492458,0.0,,,1.8,2.7,-0.9000000000000001,-1.1999999999999995,,,-0.05000000000001137,0.5999999999999943,-0.69,2.0,,,,,,,,,,0.9000000000000057,7.5,-13.300000000000011,,,,,,,,,,0.3400000000000034,-1.4200000000000017,1.0700000000000074,,,,,,,,,,-0.2999999999999998,0.1299999999999999,-0.11000000000000032,,,,,,,,,,-1.0777018104994158
2005-06,1.6,66.93,493500000000.0,116.8,1.5,-0.202508327965675,0.3072476829238505,-0.4370337828609758,46.13212811470407,37.71356654648854,-0.1999999999999999,,,1.8,1.8,0.0,-0.9000000000000001,,,0.5800000000000125,0.20000000000000284,-0.020000000000000018,-1.1999999999999995,2.0,,,,,,,,,0.5999999999999943,0.9000000000000057,7.5,-13.300000000000011,,,,,,,,,-0.05000000000001137,0.3400000000000034,-1.4200000000000017,1.0700000000000074,,,,,,,,,-0.69,-0.2999999999999998,0.1299999999999999,-0.11000000000000032,,,,,,,,,-0.7137586986876445
2005-07,1.8,68.16,493490000000.0,116.1,1.54,0.03048527324946,0.1769808174571544,-0.7527007000338285,66.260601700526,8.778604747801932,0.1999999999999999,,,1.6,1.8,-0.1999999999999999,0.0,,,1.2299999999999898,-0.7000000000000028,0.040000000000000036,-0.9000000000000001,-1.1999999999999995,2.0,,,,,,,,0.20000000000000284,0.5999999999999943,0.9000000000000057,7.5,-13.300000000000011,,,,,,,,0.5800000000000125,-0.05000000000001137,0.3400000000000034,-1.4200000000000017,1.0700000000000074,,,,,,,,-0.020000000000000018,-0.69,-0.2999999999999998,0.1299999999999999,-0.11000000000000032,,,,,,,,-0.4370337828609758
2005-08,1.3,68.19,504080000000.0,116.0,1.49,-0.2498249719607916,0.3792194769893583,-1.0045301442398036,8.513163957332639,73.20559221064627,-0.5,,,1.8,1.6,0.1999999999999999,-0.1999999999999999,,,0.030000000000001137,-0.09999999999999432,-0.050000000000000044,0.0,-0.9000000000000001,-1.1999999999999995,2.0,,,,,,,-0.7000000000000028,0.20000000000000284,0.5999999999999943,0.9000000000000057,7.5,-13.300000000000011,,,,,,,1.2299999999999898,0.5800000000000125,-0.05000000000001137,0.3400000000000034,-1.4200000000000017,1.0700000000000074,,,,,,,0.040000000000000036,-0.020000000000000018,-0.69,-0.2999999999999998,0.1299999999999999,-0.11000000000000032,,,,,,,-0.7527007000338285
2005-09,0.9,68.38,549520000000.0,116.5,1.52,-2.986808934354127,-5.569217576339171,-1.1215896074582874,0.0032130247130723,100.0,-0.4,,,1.3,1.8,-0.5,0.1999999999999999,,,0.18999999999999773,0.5,0.030000000000000027,-0.1999999999999999,0.0,-0.9000000000000001,-1.1999999999999995,2.0,,,,,,-0.09999999999999432,-0.7000000000000028,0.20000000000000284,0.5999999999999943,0.9000000000000057,7.5,-13.300000000000011,,,,,,0.030000000000001137,1.2299999999999898,0.5800000000000125,-0.05000000000001137,0.3400000000000034,-1.4200000000000017,1.0700000000000074,,,,,,-0.050000000000000044,0.040000000000000036,-0.020000000000000018,-0.69,-0.2999999999999998,0.1299999999999999,-0.11000000000000032,,,,,,-1.0045301442398036
2005-10,1.2,69.26,584660000000.0,116.1,1.83,-0.7975268682255792,-0.3065560664611119,-0.648051880349124,52.66618843433996,24.507971669603727,0.2999999999999999,,,0.9,1.3,-0.4,-0.5,,,0.8800000000000097,-0.4000000000000057,0.31000000000000005,0.1999999999999999,-0.1999999999999999,0.0,-0.9000000000000001,-1.1999999999999995,2.0,,,,,0.5,-0.09999999999999432,-0.7000000000000028,0.20000000000000284,0.5999999999999943,0.9000000000000057,7.5,-13.300000000000011,,,,,0.18999999999999773,0.030000000000001137,1.2299999999999898,0.5800000000000125,-0.05000000000001137,0.3400000000000034,-1.4200000000000017,1.0700000000000074,,,,,0.030000000000000027,-0.050000000000000044,0.040000000000000036,-0.020000000000000018,-0.69,-0.2999999999999998,0.1299999999999999,-0.11000000000000032,,,,,-1.1215896074582874
