target,sample_period,beta,t_stat,p_value,beta_scale,t_stat_scale,p_value_scale,n_obs
dshibor3m,full,-0.104218489,-2.416955718,0.0156509210158812,-0.329484298,-1.486477282,0.137152921593233,202
dip_yoy,pre_covid,-0.815895389,-4.400650978,1.0792660298233895e-05,-1.706769125,-1.713064477,0.0867006783185066,46
